"","SACRIFICE_PERIOD","rDOSE_LEVEL","compound_sutherland","toxclass","toxlabel","time_index","toxact","COMPOUND_NAME","compound_tggates","chembl_id","compound_chembl"
"46","24 hr","rHigh","BORTEZOMIB","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"47","24 hr","rHigh","CARBON TETRACHLORIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"48","24 hr","rHigh","LIPOPOLYSACCHARIDE E. COLI O55:B5","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","LPS","lps","CHEMBL1234081",""
"49","24 hr","rMiddle","4,4'-METHYLENEDIANILINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"50","24 hr","rHigh","PHORONE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","phorone","phorone","CHEMBL2766015","PHORONE"
"51","24 hr","rHigh","THIOACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"52","24 hr","rLow","PIRINIXIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"53","24 hr","rMiddle","PIRINIXIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",4,"toxact_high","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"54","24 hr","rHigh","NIACIN","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",4,"toxact_high","nicotinic_acid","nicotinic acid","CHEMBL573","NIACIN"
"55","24 hr","rHigh","BORTEZOMIB","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_high","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"56","24 hr","rMiddle","BORTEZOMIB","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_high","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"57","24 hr","rHigh","BROMOBENZENE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_high","bromobenzene","bromobenzene","CHEMBL16068","BROMOBENZENE"
"58","24 hr","rHigh","4,4'-METHYLENEDIANILINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"59","24 hr","rMiddle","4,4'-METHYLENEDIANILINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"60","24 hr","rHigh","THIOACETAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",4,"toxact_high","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"61","24 hr","rHigh","ACETAMINOPHEN","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","acetaminophen","acetaminophen","CHEMBL112","ACETAMINOPHEN"
"62","24 hr","rHigh","AFLATOXIN B1","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"63","24 hr","rHigh","BROMOBENZENE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","bromobenzene","bromobenzene","CHEMBL16068","BROMOBENZENE"
"64","24 hr","rHigh","GALACTOSAMINE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"65","24 hr","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"66","24 hr","rMiddle","1-NAPHTHYL ISOTHIOCYANATE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"67","24 hr","rHigh","PHORONE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","phorone","phorone","CHEMBL2766015","PHORONE"
"68","24 hr","rHigh","THIOACETAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",4,"toxact_high","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"69","24 hr","rLow","DANAZOL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","danazol","danazol","CHEMBL1479","DANAZOL"
"70","24 hr","rMiddle","DANAZOL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","danazol","danazol","CHEMBL1479","DANAZOL"
"71","24 hr","rHigh","FENOFIBRATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"72","24 hr","rHigh","IBUPROFEN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","ibuprofen","ibuprofen","CHEMBL521","IBUPROFEN"
"73","24 hr","rHigh","KETOCONAZOLE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","ketoconazole","ketoconazole","CHEMBL157101","KETOCONAZOLE"
"74","24 hr","rHigh","17-METHYLTESTOSTERONE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","methyltestosterone","methyltestosterone","CHEMBL1395","METHYLTESTOSTERONE"
"75","24 hr","rHigh","SIMVASTATIN","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","simvastatin","simvastatin","CHEMBL1064","SIMVASTATIN"
"76","24 hr","rHigh","PIRINIXIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"77","24 hr","rMiddle","PIRINIXIC ACID","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",4,"toxact_high","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"78","24 hr","rHigh","BORTEZOMIB","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",4,"toxact_high","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"79","24 hr","rMiddle","DEXAMETHASONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",4,"toxact_high","dexamethasone","dexamethasone","CHEMBL384467","DEXAMETHASONE"
"80","4 day","rHigh","ACETAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",5,"toxact_high","acetamide","acetamide","CHEMBL16081","ACETAMIDE"
"81","4 day","rHigh","PHALLOIDIN","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",5,"toxact_high","phalloidin","phalloidin","CHEMBL502682","PHALLOIDIN"
"82","4 day","rHigh","1% CHOLESTEROL + 0.25% SODIUM CHOLATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_high","1%_cholesterol_+_0.25%_sodium_cholate","1% cholesterol + 0.25% sodium cholate","CHEMBL2766016",""
"83","4 day","rHigh","ACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_high","acetamide","acetamide","CHEMBL16081","ACETAMIDE"
"84","4 day","rMiddle","ACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_high","acetamide","acetamide","CHEMBL16081","ACETAMIDE"
"85","4 day","rMiddle","CARBON TETRACHLORIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",5,"toxact_high","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"86","4 day","rHigh","METHAPYRILENE","Hyperplasia:Biliary","Biliary Hyperplasia",5,"toxact_high","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"87","4 day","rHigh","4,4'-METHYLENEDIANILINE","Hyperplasia:Biliary","Biliary Hyperplasia",5,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"88","4 day","rHigh","BENZBROMARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_high","benzbromarone","benzbromarone","CHEMBL388590","BENZBROMARONE"
"89","4 day","rHigh","NIMESULIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_high","nimesulide","nimesulide","CHEMBL56367","NIMESULIDE"
"90","4 day","rHigh","TICLOPIDINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",5,"toxact_high","ticlopidine","ticlopidine","CHEMBL833","TICLOPIDINE"
"91","4 day","rHigh","1% CHOLESTEROL + 0.25% SODIUM CHOLATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_high","1%_cholesterol_+_0.25%_sodium_cholate","1% cholesterol + 0.25% sodium cholate","CHEMBL2766016",""
"92","4 day","rHigh","ETHIONAMIDE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"93","4 day","rHigh","GEMFIBROZIL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_high","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"94","4 day","rMiddle","GEMFIBROZIL","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_high","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"95","4 day","rHigh","4,4'-METHYLENEDIANILINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",5,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"96","4 day","rHigh","ETHIONAMIDE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",5,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"97","4 day","rMiddle","ETHIONAMIDE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",5,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"98","8 day","rHigh","ETHAMBUTOL","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",6,"toxact_high","ethambutol","ethambutol","CHEMBL44884","ETHAMBUTOL"
"99","8 day","rHigh","MONOCROTALINE","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",6,"toxact_high","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"100","8 day","rHigh","ALLYL ALCOHOL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_high","allyl_alcohol","allyl alcohol","CHEMBL234926","ALLYL ALCOHOL"
"101","8 day","rLow","CARBON TETRACHLORIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_high","carbon_tetrachloride","carbon tetrachloride","CHEMBL44814","CARBON TETRACHLORIDE"
"102","8 day","rHigh","FENOFIBRATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_high","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"103","8 day","rMiddle","FENOFIBRATE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_high","fenofibrate","fenofibrate","CHEMBL672","FENOFIBRATE"
"104","8 day","rHigh","N-NITROSODIETHYLAMINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_high","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"105","8 day","rMiddle","THIOACETAMIDE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",6,"toxact_high","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"106","8 day","rHigh","MONOCROTALINE","Fibrosis:Fibrosis","Fibrosis",6,"toxact_high","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"107","8 day","rHigh","IBUPROFEN","Hematopoiesis:Hematopoeisis","Hematopoeisis",6,"toxact_high","ibuprofen","ibuprofen","CHEMBL521","IBUPROFEN"
"108","8 day","rHigh","NAPROXEN","Hematopoiesis:Hematopoeisis","Hematopoeisis",6,"toxact_high","naproxen","naproxen","CHEMBL154","NAPROXEN"
"109","8 day","rHigh","PHALLOIDIN","Hyperplasia:Biliary","Biliary Hyperplasia",6,"toxact_high","phalloidin","phalloidin","CHEMBL502682","PHALLOIDIN"
"110","8 day","rHigh","BENDAZAC","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","bendazac","bendazac","CHEMBL1089221","BENDAZAC"
"111","8 day","rMiddle","BENZBROMARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","benzbromarone","benzbromarone","CHEMBL388590","BENZBROMARONE"
"112","8 day","rHigh","CHLORPROPAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","chlorpropamide","chlorpropamide","CHEMBL498","CHLORPROPAMIDE"
"113","8 day","rHigh","DILTIAZEM","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","diltiazem","diltiazem","CHEMBL23","DILTIAZEM"
"114","8 day","rHigh","DISULFIRAM","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","disulfiram","disulfiram","CHEMBL964","DISULFIRAM"
"115","8 day","rHigh","FLUTAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","flutamide","flutamide","CHEMBL806","FLUTAMIDE"
"116","8 day","rHigh","PHENOBARBITAL","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","phenobarbital","phenobarbital","CHEMBL40","PHENOBARBITAL"
"117","8 day","rHigh","PHENYTOIN","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","phenytoin","phenytoin","CHEMBL16","PHENYTOIN"
"118","8 day","rHigh","PROMETHAZINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","promethazine","promethazine","CHEMBL643","PROMETHAZINE"
"119","8 day","rHigh","TERBINAFINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","terbinafine","terbinafine","CHEMBL822","TERBINAFINE"
"120","8 day","rMiddle","THIOACETAMIDE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",6,"toxact_high","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"121","8 day","rHigh","MONOCROTALINE","Infiltration\Inflammation:Inflammation","Inflammation",6,"toxact_high","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"122","15 day","rMiddle","METHAPYRILENE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",7,"toxact_high","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"123","15 day","rHigh","GEMFIBROZIL","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",7,"toxact_high","gemfibrozil","gemfibrozil","CHEMBL457","GEMFIBROZIL"
"124","15 day","rHigh","LOMUSTINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",7,"toxact_high","lomustine","lomustine","CHEMBL514","LOMUSTINE"
"125","15 day","rHigh","MONOCROTALINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",7,"toxact_high","monocrotaline","monocrotaline","CHEMBL521035","MONOCROTALINE"
"126","15 day","rHigh","IPRONIAZID","Hematopoiesis:Hematopoeisis","Hematopoeisis",7,"toxact_high","iproniazid","iproniazid","CHEMBL92401","IPRONIAZID"
"127","15 day","rLow","2-ACETYLAMINOFLUORENE","Hyperplasia:Biliary","Biliary Hyperplasia",7,"toxact_high","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"128","15 day","rMiddle","2-ACETYLAMINOFLUORENE","Hyperplasia:Biliary","Biliary Hyperplasia",7,"toxact_high","acetamidofluorene","acetamidofluorene","CHEMBL311469","2-ACETYLAMINOFLUORENE"
"129","15 day","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Hyperplasia:Biliary","Biliary Hyperplasia",7,"toxact_high","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"130","15 day","rHigh","N-NITROSODIETHYLAMINE","Hyperplasia:Biliary","Biliary Hyperplasia",7,"toxact_high","nitrosodiethylamine","nitrosodiethylamine","CHEMBL164290","N-NITROSODIETHYLAMINE"
"131","15 day","rHigh","AMITRIPTYLINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_high","amitriptyline","amitriptyline","CHEMBL629","AMITRIPTYLINE"
"132","15 day","rHigh","BENZIODARONE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_high","benziodarone","benziodarone","CHEMBL232201","BENZIODARONE"
"133","15 day","rHigh","CARBAMAZEPINE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_high","carbamazepine","carbamazepine","CHEMBL108","CARBAMAZEPINE"
"134","15 day","rHigh","CHLORAMPHENICOL","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",7,"toxact_high","chloramphenicol","chloramphenicol","CHEMBL130","CHLORAMPHENICOL"
