"DOSE","DOSE_UNIT","COMPOUND_NAME","n","DOSE_LEVEL","SINGLE_REPEAT_TYPE","SACRIFICE_PERIOD","rDOSE_LEVEL"
3,"mg/kg","ethinylestradiol",8,"Middle","Single","24 hr","rMiddle"
3,"mg/kg","ethinylestradiol",8,"Middle","Repeat","4 day","rMiddle"
3,"mg/kg","ethinylestradiol",8,"Middle","Repeat","8 day","rMiddle"
3,"mg/kg","ethinylestradiol",8,"Middle","Repeat","15 day","rMiddle"
3,"mg/kg","ethinylestradiol",8,"Middle","Repeat","29 day","rMiddle"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Single","3 hr","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Single","6 hr","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Single","9 hr","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Single","24 hr","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","fluoxetine hydrochloride",8,"Low","Repeat","29 day","rLow"
3,"mg/kg","haloperidol",8,"Low","Single","3 hr","rLow"
3,"mg/kg","haloperidol",8,"Low","Single","6 hr","rLow"
3,"mg/kg","haloperidol",8,"Low","Single","9 hr","rLow"
3,"mg/kg","haloperidol",8,"Low","Single","24 hr","rLow"
3,"mg/kg","haloperidol",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","haloperidol",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","haloperidol",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","haloperidol",8,"Low","Repeat","29 day","rLow"
3,"mg/kg","lornoxicam",7,"Middle","Single","3 hr","rHigh"
3,"mg/kg","lornoxicam",7,"Middle","Single","6 hr","rHigh"
3,"mg/kg","lornoxicam",7,"Middle","Single","9 hr","rHigh"
3,"mg/kg","lornoxicam",7,"Middle","Single","24 hr","rHigh"
3,"mg/kg","lornoxicam",7,"High","Repeat","4 day","rHigh"
3,"mg/kg","lornoxicam",7,"High","Repeat","8 day","rHigh"
3,"mg/kg","lornoxicam",7,"High","Repeat","15 day","rHigh"
3,"mg/kg","monocrotaline",8,"Low","Single","3 hr","rLow"
3,"mg/kg","monocrotaline",8,"Low","Single","6 hr","rLow"
3,"mg/kg","monocrotaline",8,"Low","Single","9 hr","rLow"
3,"mg/kg","monocrotaline",8,"Low","Single","24 hr","rLow"
3,"mg/kg","monocrotaline",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","monocrotaline",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","monocrotaline",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","monocrotaline",8,"Low","Repeat","29 day","rLow"
3,"mg/kg","tacrine",8,"Low","Single","3 hr","rLow"
3,"mg/kg","tacrine",8,"Low","Single","6 hr","rLow"
3,"mg/kg","tacrine",8,"Low","Single","9 hr","rLow"
3,"mg/kg","tacrine",8,"Low","Single","24 hr","rLow"
3,"mg/kg","tacrine",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","tacrine",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","tacrine",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","tacrine",8,"Low","Repeat","29 day","rLow"
5,"mg/kg","colchicine",8,"Middle","Single","3 hr","rHigh"
5,"mg/kg","colchicine",8,"Middle","Single","6 hr","rHigh"
5,"mg/kg","colchicine",8,"Middle","Single","9 hr","rHigh"
5,"mg/kg","colchicine",8,"Middle","Single","24 hr","rHigh"
5,"mg/kg","colchicine",8,"High","Repeat","4 day","rHigh"
5,"mg/kg","colchicine",8,"High","Repeat","8 day","rHigh"
5,"mg/kg","colchicine",8,"High","Repeat","15 day","rHigh"
5,"mg/kg","colchicine",8,"High","Repeat","29 day","rHigh"
5,"mg/kg","indomethacin",7,"High","Repeat","4 day","rHigh"
5,"mg/kg","indomethacin",7,"High","Repeat","8 day","rHigh"
5,"mg/kg","indomethacin",7,"High","Repeat","15 day","rHigh"
5,"mg/kg","indomethacin",7,"Low","Single","3 hr","rHigh"
5,"mg/kg","indomethacin",7,"Low","Single","6 hr","rHigh"
5,"mg/kg","indomethacin",7,"Low","Single","9 hr","rHigh"
5,"mg/kg","indomethacin",7,"Low","Single","24 hr","rHigh"
5,"mg/kg","rotenone",8,"Low","Single","3 hr","rLow"
5,"mg/kg","rotenone",8,"Low","Single","6 hr","rLow"
5,"mg/kg","rotenone",8,"Low","Single","9 hr","rLow"
5,"mg/kg","rotenone",8,"Low","Single","24 hr","rLow"
5,"mg/kg","rotenone",8,"Low","Repeat","4 day","rLow"
5,"mg/kg","rotenone",8,"Low","Repeat","8 day","rLow"
5,"mg/kg","rotenone",8,"Low","Repeat","15 day","rLow"
5,"mg/kg","rotenone",8,"Low","Repeat","29 day","rLow"
5,"mg/kg","thioacetamide",8,"Low","Single","3 hr","rLow"
5,"mg/kg","thioacetamide",8,"Low","Single","6 hr","rLow"
5,"mg/kg","thioacetamide",8,"Low","Single","9 hr","rLow"
5,"mg/kg","thioacetamide",8,"Low","Single","24 hr","rLow"
5,"mg/kg","thioacetamide",8,"Low","Repeat","4 day","rLow"
5,"mg/kg","thioacetamide",8,"Low","Repeat","8 day","rLow"
5,"mg/kg","thioacetamide",8,"Low","Repeat","15 day","rLow"
5,"mg/kg","thioacetamide",8,"Low","Repeat","29 day","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Single","3 hr","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Single","6 hr","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Single","9 hr","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Single","24 hr","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Repeat","4 day","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Repeat","8 day","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Repeat","15 day","rLow"
6,"mg/kg","2,4-dinitrophenol",8,"Low","Repeat","29 day","rLow"
6,"mg/kg","bromoethylamine",8,"Low","Single","3 hr","rMiddle"
6,"mg/kg","bromoethylamine",8,"Low","Single","6 hr","rMiddle"
6,"mg/kg","bromoethylamine",8,"Low","Single","9 hr","rMiddle"
6,"mg/kg","bromoethylamine",8,"Low","Single","24 hr","rMiddle"
6,"mg/kg","bromoethylamine",8,"Middle","Repeat","4 day","rMiddle"
6,"mg/kg","bromoethylamine",8,"Middle","Repeat","8 day","rMiddle"
6,"mg/kg","bromoethylamine",8,"Middle","Repeat","15 day","rMiddle"
6,"mg/kg","bromoethylamine",8,"Middle","Repeat","29 day","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Single","3 hr","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Single","6 hr","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Single","9 hr","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Single","24 hr","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Repeat","4 day","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Repeat","8 day","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Repeat","15 day","rMiddle"
6,"mg/kg","fluphenazine",8,"Middle","Repeat","29 day","rMiddle"
6,"mg/kg","iproniazid",8,"Low","Single","3 hr","rLow"
6,"mg/kg","iproniazid",8,"Low","Single","6 hr","rLow"
6,"mg/kg","iproniazid",8,"Low","Single","9 hr","rLow"
6,"mg/kg","iproniazid",8,"Low","Single","24 hr","rLow"
6,"mg/kg","iproniazid",8,"Low","Repeat","4 day","rLow"
6,"mg/kg","iproniazid",8,"Low","Repeat","8 day","rLow"
6,"mg/kg","iproniazid",8,"Low","Repeat","15 day","rLow"
6,"mg/kg","iproniazid",8,"Low","Repeat","29 day","rLow"
6,"mg/kg","lomustine",8,"High","Single","3 hr","rHigh"
6,"mg/kg","lomustine",8,"High","Single","6 hr","rHigh"
6,"mg/kg","lomustine",8,"High","Single","9 hr","rHigh"
6,"mg/kg","lomustine",8,"High","Single","24 hr","rHigh"
6,"mg/kg","lomustine",8,"High","Repeat","4 day","rHigh"
6,"mg/kg","lomustine",8,"High","Repeat","8 day","rHigh"
6,"mg/kg","lomustine",8,"High","Repeat","15 day","rHigh"
6,"mg/kg","lomustine",8,"High","Repeat","29 day","rHigh"
6,"mg/kg","tamoxifen",8,"Low","Single","3 hr","rLow"
6,"mg/kg","tamoxifen",8,"Low","Single","6 hr","rLow"
6,"mg/kg","tamoxifen",8,"Low","Single","9 hr","rLow"
6,"mg/kg","tamoxifen",8,"Low","Single","24 hr","rLow"
6,"mg/kg","tamoxifen",8,"Low","Repeat","4 day","rLow"
6,"mg/kg","tamoxifen",8,"Low","Repeat","8 day","rLow"
6,"mg/kg","tamoxifen",8,"Low","Repeat","15 day","rLow"
6,"mg/kg","tamoxifen",8,"Low","Repeat","29 day","rLow"
8,"mg/kg","pemoline",8,"Low","Single","3 hr","rLow"
8,"mg/kg","pemoline",8,"Low","Single","6 hr","rLow"
8,"mg/kg","pemoline",8,"Low","Single","9 hr","rLow"
8,"mg/kg","pemoline",8,"Low","Single","24 hr","rLow"
8,"mg/kg","pemoline",8,"Low","Repeat","4 day","rLow"
8,"mg/kg","pemoline",8,"Low","Repeat","8 day","rLow"
8,"mg/kg","pemoline",8,"Low","Repeat","15 day","rLow"
8,"mg/kg","pemoline",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","allyl alcohol",8,"Middle","Single","3 hr","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Single","6 hr","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Single","9 hr","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Single","24 hr","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","allyl alcohol",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Single","3 hr","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Single","6 hr","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Single","9 hr","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Single","24 hr","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","azathioprine",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","caffeine",8,"Low","Single","3 hr","rLow"
10,"mg/kg","caffeine",8,"Low","Single","6 hr","rLow"
10,"mg/kg","caffeine",8,"Low","Single","9 hr","rLow"
10,"mg/kg","caffeine",8,"Low","Single","24 hr","rLow"
10,"mg/kg","caffeine",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","caffeine",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","caffeine",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","caffeine",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","carboplatin",8,"Low","Single","3 hr","rHigh"
10,"mg/kg","carboplatin",8,"Low","Single","6 hr","rHigh"
10,"mg/kg","carboplatin",8,"Low","Single","9 hr","rHigh"
10,"mg/kg","carboplatin",8,"Low","Single","24 hr","rHigh"
10,"mg/kg","carboplatin",8,"High","Repeat","4 day","rHigh"
10,"mg/kg","carboplatin",8,"High","Repeat","8 day","rHigh"
10,"mg/kg","carboplatin",8,"High","Repeat","15 day","rHigh"
10,"mg/kg","carboplatin",8,"High","Repeat","29 day","rHigh"
10,"mg/kg","chlorpheniramine",8,"Middle","Single","3 hr","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Single","6 hr","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Single","9 hr","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Single","24 hr","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","chlorpheniramine",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","clomipramine",8,"Low","Single","3 hr","rLow"
10,"mg/kg","clomipramine",8,"Low","Single","6 hr","rLow"
10,"mg/kg","clomipramine",8,"Low","Single","9 hr","rLow"
10,"mg/kg","clomipramine",8,"Low","Single","24 hr","rLow"
10,"mg/kg","clomipramine",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","clomipramine",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","clomipramine",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","clomipramine",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","diclofenac",8,"High","Repeat","4 day","rHigh"
10,"mg/kg","diclofenac",8,"High","Repeat","8 day","rHigh"
10,"mg/kg","diclofenac",8,"High","Repeat","15 day","rHigh"
10,"mg/kg","diclofenac",8,"High","Repeat","29 day","rHigh"
10,"mg/kg","diclofenac",8,"Low","Single","3 hr","rHigh"
10,"mg/kg","diclofenac",8,"Low","Single","6 hr","rHigh"
10,"mg/kg","diclofenac",8,"Low","Single","9 hr","rHigh"
10,"mg/kg","diclofenac",8,"Low","Single","24 hr","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Single","3 hr","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Single","6 hr","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Single","9 hr","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Single","24 hr","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Repeat","4 day","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Repeat","8 day","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Repeat","15 day","rHigh"
10,"mg/kg","ethinylestradiol",8,"High","Repeat","29 day","rHigh"
10,"mg/kg","etoposide",8,"Low","Single","3 hr","rMiddle"
10,"mg/kg","etoposide",8,"Low","Single","6 hr","rMiddle"
10,"mg/kg","etoposide",8,"Low","Single","9 hr","rMiddle"
10,"mg/kg","etoposide",8,"Low","Single","24 hr","rMiddle"
10,"mg/kg","etoposide",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","etoposide",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","etoposide",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","etoposide",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","fenofibrate",8,"Low","Single","3 hr","rLow"
10,"mg/kg","fenofibrate",8,"Low","Single","6 hr","rLow"
10,"mg/kg","fenofibrate",8,"Low","Single","9 hr","rLow"
10,"mg/kg","fenofibrate",8,"Low","Single","24 hr","rLow"
10,"mg/kg","fenofibrate",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","fenofibrate",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","fenofibrate",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","fenofibrate",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Single","3 hr","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Single","6 hr","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Single","9 hr","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Single","24 hr","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","fluoxetine hydrochloride",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","gentamicin",8,"Low","Single","3 hr","rLow"
10,"mg/kg","gentamicin",8,"Low","Single","6 hr","rLow"
10,"mg/kg","gentamicin",8,"Low","Single","9 hr","rLow"
10,"mg/kg","gentamicin",8,"Low","Single","24 hr","rLow"
10,"mg/kg","gentamicin",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","gentamicin",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","gentamicin",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","gentamicin",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","haloperidol",8,"Middle","Single","3 hr","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Single","6 hr","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Single","9 hr","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Single","24 hr","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","haloperidol",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","hydroxyzine",8,"Low","Single","3 hr","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Single","6 hr","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Single","9 hr","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Single","24 hr","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","hydroxyzine",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","imipramine",8,"Low","Single","3 hr","rLow"
10,"mg/kg","imipramine",8,"Low","Single","6 hr","rLow"
10,"mg/kg","imipramine",8,"Low","Single","9 hr","rLow"
10,"mg/kg","imipramine",8,"Low","Single","24 hr","rLow"
10,"mg/kg","imipramine",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","imipramine",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","imipramine",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","imipramine",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","ketoconazole",8,"Low","Single","3 hr","rLow"
10,"mg/kg","ketoconazole",8,"Low","Single","6 hr","rLow"
10,"mg/kg","ketoconazole",8,"Low","Single","9 hr","rLow"
10,"mg/kg","ketoconazole",8,"Low","Single","24 hr","rLow"
10,"mg/kg","ketoconazole",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","ketoconazole",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","ketoconazole",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","ketoconazole",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","meloxicam",8,"Low","Single","3 hr","rMiddle"
10,"mg/kg","meloxicam",8,"Low","Single","6 hr","rMiddle"
10,"mg/kg","meloxicam",8,"Low","Single","9 hr","rMiddle"
10,"mg/kg","meloxicam",8,"Low","Single","24 hr","rMiddle"
10,"mg/kg","meloxicam",8,"Middle","Repeat","4 day","rMiddle"
10,"mg/kg","meloxicam",8,"Middle","Repeat","8 day","rMiddle"
10,"mg/kg","meloxicam",8,"Middle","Repeat","15 day","rMiddle"
10,"mg/kg","meloxicam",8,"Middle","Repeat","29 day","rMiddle"
10,"mg/kg","methapyrilene",8,"Low","Single","3 hr","rLow"
10,"mg/kg","methapyrilene",8,"Low","Single","6 hr","rLow"
10,"mg/kg","methapyrilene",8,"Low","Single","9 hr","rLow"
10,"mg/kg","methapyrilene",8,"Low","Single","24 hr","rLow"
10,"mg/kg","methapyrilene",8,"Low","Repeat","4 day","rLow"
10,"mg/kg","methapyrilene",8,"Low","Repeat","8 day","rLow"
10,"mg/kg","methapyrilene",8,"Low","Repeat","15 day","rLow"
10,"mg/kg","methapyrilene",8,"Low","Repeat","29 day","rLow"
10,"mg/kg","methimazole",8,"Low","Single","3 hr","rLow"
